epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.032665262,5.989479472,0.360284876,1.374109761
1,6.012381945,5.803024521,1.139505656,4.289903645
2,5.820469861,5.008980284,4.725596984,16.29660662
3,5.589512035,4.457035178,9.409300372,27.5157101
4,5.431405452,4.075140245,15.40008377,40.52785923
5,5.308295637,3.891473018,18.39128613,45.11939672
6,5.242624366,3.519383477,23.63636363,51.95643066
7,5.125867707,3.380456967,27.71679932,55.96145789
8,5.060713942,3.127756958,31.83912861,60.20108922
9,4.982352841,2.777507233,40.23460409,68.21114369
10,4.906858372,2.887611689,39.84080435,67.90950984
11,4.801298062,2.634110874,44.89317133,72.51780476
12,4.676810839,2.57860874,48.21114369,74.91411813
13,4.622069014,2.363594552,48.73900292,75.63468789
14,4.577604222,2.215785701,54.72978634,79.4470046
15,4.440873335,1.965727197,61.56682026,83.803938
16,4.407708842,1.988960425,62.882279,85.11939673
17,4.346890488,1.717378701,64.7339757,85.90699623
18,4.220524516,1.750101134,67.95978214,87.85923753
19,4.256197871,1.579139938,69.78634268,88.99036446
20,4.209045276,1.381562238,74.1600335,91.0012568
21,4.116715953,1.438437042,71.88102219,89.7025555
22,4.105212058,1.477814521,74.34436531,91.2777545
23,4.065572042,1.54888041,73.02052785,89.95391704
24,4.017598392,1.341668576,78.29912023,92.73565144
25,3.903483303,1.255408201,79.9078341,93.5064935
26,3.886772731,1.080965255,81.19815668,94.25219941
27,3.831854061,1.322361563,79.88269794,93.56514453
28,3.866497279,1.149945874,82.29576874,94.37788018
29,3.854803555,1.279874548,81.40762463,94.2019271
30,3.783421542,1.050194781,83.66149978,95.2241307
31,3.673940556,1.081960555,80.97193129,93.73271889
32,3.683514361,1.06102186,85.25345622,95.48387097
33,3.744948346,1.081284039,83.35986593,95.19061583
34,3.651024041,0.93539049,85.73942187,95.95307918
35,3.662196479,1.010874169,86.686217,96.41390867
36,3.61088367,1.002601207,87.13866778,96.50607457
37,3.606424028,0.979576997,86.359447,96.08713867
38,3.568473366,0.994820414,87.44868035,96.53958944
39,3.501275882,1.00468793,86.23376623,95.97821533
40,3.592361165,0.958729045,87.934646,96.72392124
41,3.532795964,0.881634897,87.71679933,96.71554252
42,3.559570732,0.918085676,88.3535819,96.9836615
43,3.518435192,0.806011607,89.4679514,97.36908253
44,3.452241526,0.783213353,89.84499371,97.5869292
45,3.425621446,0.851686012,89.56849602,97.39421868
46,3.435637266,0.839858519,89.92040218,97.56179304
47,3.366914283,1.030097967,88.78089652,96.95014663
48,3.453803421,0.932901728,89.57687473,97.24340176
49,3.394658075,0.839648274,89.71931294,97.24340176
50,3.364272752,0.961055448,89.57687474,97.26015919
51,3.360167753,0.785934473,90.91746962,97.61206535
52,3.369503537,0.873238383,90.69962295,97.71260997
53,3.304481681,0.769772875,91.64641809,97.95559279
54,3.396665315,0.707167322,91.77209887,98.10640972
55,3.291404264,0.763499146,91.04315039,97.81315459
56,3.341150454,0.787525508,91.5542522,97.94721408
57,3.327133319,0.892987447,91.26099706,97.96397151
58,3.296168501,0.666321235,92.37536657,98.08965228
59,3.274432746,0.767894332,91.96480938,98.11478844
60,3.249054399,0.766525508,91.38667784,97.9136992
61,3.226835302,0.69960465,92.64348554,98.29074152
