epoch,train_loss,eval_loss,eval_top1,eval_top5

0,2.2813812054120577,2.174909375,22.52,76.71

1,2.1719317072477096,1.645071875,43.88,91.51

2,2.0602609814741673,1.4507546875,51.45,93.78

3,1.9568641778750298,1.204484375,60.15,95.78

4,1.9098597523493646,1.1606140625,63.47,96.6

5,1.8799278259277343,1.1242046875,64.35,95.93

6,1.8526360615705832,0.9749296875,71.76,97.51

7,1.8172238790071928,0.96628828125,72.72,97.69

8,1.7693629616346114,0.9538765625,70.59,96.65

9,1.7429680836506378,0.78164296875,78.89,98.77

10,1.728743430895683,0.81156796875,78.54,98.65

11,1.7121906292744171,0.8041125,80.15,98.75

12,1.6873897824531947,0.60948671875,83.84,99.12

13,1.6748017338606027,0.75291171875,81.47,98.86

14,1.6703720722443018,0.711678125,83.01,99.1

15,1.6366716415454179,0.6654234375,84.16,99.1

16,1.6549768107059675,0.71702578125,84.31,98.92

17,1.6021459347162492,0.6439078125,84.17,98.93

18,1.5527159525797918,0.66923359375,85.64,99.09

19,1.6025605012208988,0.61556953125,86.17,99.4

20,1.5929003704816866,0.633813671875,85.87,99.23

21,1.5877190290353238,0.59117734375,87.67,99.44

22,1.572041262113131,0.60204140625,85.41,99.14

23,1.518431329115843,0.5486734375,88.69,99.46

24,1.5392904203671676,0.5971390625,87.73,99.43

25,1.5357359187725264,0.581107421875,88.54,99.51

26,1.5326818059652279,0.54810859375,89.23,99.5

27,1.5245816667874654,0.52438984375,89.29,99.54

28,1.5435101001690597,0.5768375,89.44,99.51

29,1.494920255587651,0.49419921875,88.93,99.53

30,1.49999216122505,0.54040234375,89.02,99.61

31,1.5080405013683515,0.58264375,90.48,99.53

32,1.5115273064527757,0.56639453125,90.24,99.61

33,1.5085446203366304,0.54154609375,90.02,99.49

34,1.4589687636265387,0.58742265625,89.62,99.55

35,1.4910803001660566,0.521620703125,91.08,99.62

36,1.4641051688255409,0.4820578125,89.86,99.61

37,1.4265068060312516,0.487903515625,90.86,99.68

38,1.459035007770245,0.56722265625,91.07,99.66

39,1.4708440465804857,0.49801796875,91.44,99.68

40,1.4678480178881914,0.587984375,90.14,99.61

41,1.4332293311754862,0.464613671875,91.79,99.72

42,1.4391738798373785,0.4868875,91.34,99.63

43,1.4507653251672403,0.45544296875,92.56,99.72

44,1.4357423201585426,0.511305859375,91.93,99.68

45,1.390875543997838,0.456153515625,92.68,99.78

46,1.4348819682231315,0.448296875,91.91,99.76

47,1.4189440076167767,0.479660546875,92.55,99.74

48,1.4243187277744978,0.463428125,92.63,99.73

49,1.4138767277583097,0.52292890625,91.73,99.68

50,1.4118633293188536,0.4629859375,92.64,99.72

51,1.3954028776058784,0.432885546875,92.71,99.71

52,1.385903869378261,0.486001953125,91.83,99.55

53,1.4093892438289446,0.44882421875,93.32,99.76

54,1.4270218011660454,0.463824609375,91.92,99.71

55,1.416210728425246,0.50330234375,92.87,99.71

56,1.413402299850415,0.4490328125,93.39,99.83

57,1.3822459569344154,0.43610234375,93.2,99.86

58,1.4048258183858333,0.363551171875,93.52,99.78

59,1.3894142474883642,0.445602734375,93.11,99.83

60,1.3998914692646418,0.414115625,93.99,99.81

61,1.374593660617486,0.385228515625,93.71,99.78

62,1.3682381234107874,0.43394921875,93.09,99.68

63,1.3296658486892015,0.439637109375,93.35,99.69

64,1.3787583878407113,0.5106421875,92.52,99.75

65,1.373505388162075,0.44629375,94.09,99.85

66,1.3491810713058863,0.390197265625,93.64,99.8

67,1.384860706787843,0.429855078125,93.68,99.72

68,1.3576737140997863,0.3665265625,93.47,99.81

69,1.367031861268557,0.4055140625,93.92,99.86

70,1.3553189939413315,0.390525390625,94.27,99.83

71,1.3805884277209257,0.40873359375,94.51,99.85

72,1.3564268705172418,0.43328125,93.74,99.85

73,1.3425097902615866,0.400290625,94.3,99.9

74,1.3577587292744564,0.3970921875,94.41,99.76

75,1.3656275770603081,0.43011015625,94.11,99.88

76,1.3595998701376792,0.41525625,94.14,99.85

77,1.342994437767909,0.440219921875,93.96,99.75

78,1.3625315676897,0.3853328125,94.15,99.84

79,1.3489536123398023,0.398394921875,94.31,99.83

80,1.320518027054958,0.42005703125,94.81,99.84

81,1.3395129023454129,0.4133734375,93.16,99.82

82,1.3297132800786924,0.390075390625,94.62,99.9

83,1.3139854149940686,0.3410515625,93.94,99.83

84,1.3290921981518085,0.384560546875,94.62,99.91

85,1.3448887520875685,0.342901953125,94.8,99.92

86,1.30191687360788,0.36554296875,95.04,99.88

87,1.342230206880814,0.45391015625,93.65,99.89

88,1.348996674403166,0.418916015625,93.76,99.86

89,1.2982029789533371,0.367248046875,94.62,99.87

90,1.3258994120817917,0.3897546875,94.71,99.85

91,1.3185281443290222,0.39248984375,94.98,99.92

92,1.308400186819908,0.337027734375,94.74,99.89

93,1.303558123570222,0.357572265625,95.46,99.86

94,1.2661875709509238,0.37860859375,95.04,99.88

95,1.3087581503085601,0.36795234375,95.32,99.87

96,1.2984804497315334,0.365360546875,94.74,99.87

97,1.3056996527390603,0.39716171875,94.96,99.83

98,1.3047149141629537,0.33527890625,95.3,99.92

99,1.3054927315467444,0.316909765625,95.51,99.93

100,1.2996683677037557,0.341008984375,95.33,99.89

101,1.3064781431968395,0.389275,94.89,99.86

102,1.3288282645054352,0.362278125,95.34,99.87

103,1.2915861157270578,0.36409609375,95.31,99.83

104,1.2897400943132546,0.359428515625,95.18,99.87

105,1.2980615210838806,0.3767625,95.52,99.92

106,1.2648939948815565,0.335431640625,95.02,99.93

107,1.286507825056712,0.340891015625,95.48,99.86

108,1.2816972685165895,0.3438625,95.57,99.86

109,1.2823253038601998,0.32885078125,95.15,99.85

110,1.30486896893917,0.3682609375,95.68,99.86

111,1.2639166764723948,0.373332421875,95.61,99.86

112,1.2873357551220135,0.3371515625,95.12,99.88

113,1.255643503482525,0.30817421875,95.88,99.92

114,1.2845992487210494,0.347606640625,95.55,99.84

115,1.2664949365151235,0.312326171875,95.93,99.91

116,1.2946882772140014,0.3530515625,95.72,99.87

117,1.2554112665164165,0.3162201171875,95.61,99.85

118,1.265345833851741,0.335453125,95.45,99.9

119,1.261922537516325,0.35684453125,95.75,99.91

