epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.321260879589961,2.226059375,20.29,67.9
1,2.2280130490278585,1.814075,34.58,87.47
2,2.149906022120745,1.691078125,39.27,89.89
3,2.097856821769323,1.528078125,46.47,92.58
4,2.0412771781285604,1.5556640625,45.22,91.05
5,2.0027275965763973,1.362196875,51.96,94.94
6,1.9715245179640941,1.2781296875,56.23,95.77
7,1.9358358789712955,1.330934375,53.26,93.85
8,1.907496827076643,1.369746875,58.91,94.43
9,1.8837156087924272,1.1700953125,61.79,95.97
10,1.8719609505090957,1.2041609375,59.22,95.56
11,1.8318435531396133,1.02281875,70.07,97.28
12,1.8018111140300066,0.98290078125,71.25,98.16
13,1.7887851024285342,1.00875625,68.52,96.14
14,1.777926885164701,0.94526875,72.24,97.69
15,1.7722381032430208,0.8052828125,77.13,98.61
16,1.7568374108045528,0.918921875,77.95,98.28
17,1.7390349161930574,0.7742984375,78.43,98.69
18,1.6956146139364976,0.80401328125,76.62,98.68
19,1.696147015461555,0.83830234375,78.11,98.7
20,1.6654958156438975,0.69772734375,81.06,99.26
21,1.690307721724877,0.7447609375,80.49,99.16
22,1.662911286109533,0.735462890625,80.83,99.1
23,1.648187252191397,0.77571796875,83.06,99.14
24,1.596293108127056,0.67080546875,83.81,99.25
25,1.638058653397438,0.6441234375,84.83,99.04
26,1.6156539282737634,0.6994046875,83.91,99.14
27,1.6167589236528446,0.70894453125,84.52,99.55
28,1.604044933960988,0.67657890625,84.28,99.18
29,1.5891331801047692,0.605646875,86.9,99.47
30,1.5977146657613608,0.693196875,86.09,99.29
31,1.5815178293448229,0.63273515625,86.15,99.28
32,1.553672986305677,0.6428453125,86.22,99.3
33,1.5570322677111015,0.6218015625,87.2,99.5
34,1.5711267376557374,0.5903265625,88.25,99.49
35,1.5699172894159952,0.611296875,87.37,99.21
36,1.5601506798695295,0.61149609375,87.89,99.52
37,1.5253993777128367,0.86845234375,78.84,98.67
38,1.5641675748886206,0.664565625,88.59,99.45
39,1.5275509462906764,0.5938375,86.65,99.41
40,1.546473472699141,0.6236859375,87.62,99.39
41,1.570801457686302,0.92153671875,75.87,98.42
42,1.591401895804283,0.58337734375,88.32,99.53
43,1.5133782943089804,0.50278046875,89.64,99.64
44,1.5064954398534236,0.52014140625,89.59,99.61
45,1.5389948325279432,0.57753984375,89.51,99.61
46,1.4977108817834122,0.52124140625,90.03,99.64
47,1.524807589634871,0.59791953125,89.2,99.71
48,1.5054514564000643,0.565665234375,90.36,99.66
49,1.507813820319298,0.56688046875,90.01,99.58
50,1.4823846714618878,0.53854453125,90.68,99.5
51,1.5168180690361903,0.56918671875,89.71,99.73
52,1.4824423430821834,0.49247734375,91.3,99.65
53,1.4988321588589595,0.581071875,90.13,99.61
54,1.4841856472003154,0.5652875,90.99,99.68
55,1.4921774465304154,0.54351484375,91.22,99.69
56,1.4643545320400826,0.51710390625,90.85,99.72
57,1.501156015885182,0.496047265625,91.14,99.72
58,1.4792581646870344,0.502728125,91.05,99.69
59,1.510772996682387,0.5117796875,90.98,99.63
60,1.473318901275977,0.4924046875,91.83,99.68
61,1.4931318214306464,0.55026171875,91.32,99.73
62,1.462341968065653,0.5563515625,91.64,99.74
63,1.4998960348275991,0.60836484375,89.73,99.63
64,1.503830764691035,0.61572421875,91.08,99.68
65,1.4899598043698532,0.55313125,91.01,99.72
66,1.5121894086018586,0.63190078125,86.99,99.43
67,1.498766994323486,0.519502734375,90.32,99.67
68,1.5200467108151852,0.5722015625,87.76,99.17
69,1.494161404401828,0.59059453125,91.07,99.76
70,1.4717705072500766,0.53199296875,90.41,99.65
71,1.4713486845676715,0.6624140625,85.31,99.0
72,1.4872849860252477,0.56553359375,90.12,99.71
73,1.4601491055427454,0.51636640625,91.01,99.67
74,1.472522989144692,0.50156171875,91.9,99.66
75,1.4227720887233049,0.496594140625,91.31,99.66
76,1.4468322688188309,0.4736421875,92.34,99.8
77,1.4729667356381049,0.53372109375,92.01,99.79
78,1.4182024116699512,0.477575,91.65,99.74
79,1.4271699740336492,0.44011640625,91.82,99.72
80,1.4303904712200164,0.5261390625,92.12,99.73
81,1.4175357431937488,0.522723828125,92.14,99.76
82,1.4341826059879401,0.49757265625,92.56,99.76
83,1.4442636551001133,0.56645625,92.34,99.85
84,1.4247387419908475,0.535011328125,92.46,99.8
85,1.4232407985589444,0.49246484375,92.43,99.72
86,1.4224226037661234,0.53689609375,93.21,99.79
87,1.423476400742164,0.52521328125,92.69,99.83
88,1.3965359377555358,0.47541875,92.98,99.8
89,1.424363137055666,0.50481796875,92.47,99.75
90,1.412278057825871,0.52235703125,92.96,99.77
91,1.401121487831458,0.462386328125,93.38,99.85
92,1.3991590131551792,0.525041015625,93.62,99.89
93,1.4076820989449819,0.510348046875,92.42,99.59
94,1.4181152895475044,0.47441640625,93.48,99.81
95,1.3988657534122466,0.50211484375,92.88,99.84
96,1.3998486717542014,0.50592109375,93.13,99.78
97,1.3969997273041652,0.442241015625,93.14,99.85
98,1.4121506160650499,0.501641015625,93.46,99.82
99,1.420428223334826,0.500061328125,93.16,99.81
100,1.4030754969670223,0.43809921875,93.29,99.8
101,1.38055367683753,0.442896875,93.06,99.82
102,1.356442246070275,0.4741953125,93.72,99.85
103,1.3483280819195969,0.45046796875,93.88,99.86
104,1.3805097868809333,0.473370703125,94.31,99.78
105,1.3787857550841112,0.42938359375,93.95,99.81
106,1.386646776780104,0.436021875,94.25,99.83
107,1.4016237592085814,0.4774703125,92.82,99.83
108,1.3898543594739377,0.40543984375,94.16,99.84
109,1.4026104642794683,0.5018796875,94.0,99.81
110,1.3754061594987528,0.47775078125,93.1,99.83
111,1.3643281444525108,0.5053265625,93.29,99.73
112,1.3643992031231904,0.3852,94.16,99.83
113,1.3743297185653296,0.4511890625,93.87,99.85
114,1.3935290501667903,0.421516796875,94.15,99.72
115,1.375429069231718,0.49126015625,93.94,99.85
116,1.354664588891543,0.4585453125,94.06,99.83
117,1.3431917830919609,0.415768359375,94.42,99.79
118,1.3729504210826677,0.421338671875,94.36,99.87
119,1.3418554594883552,0.4089125,94.3,99.86
120,1.3853637765615414,0.537212109375,92.02,99.57
121,1.4438926777778527,0.4368953125,93.65,99.79
122,1.4035324735519215,0.48087734375,94.29,99.81
123,1.3782087879303173,0.41758203125,94.56,99.83
124,1.363106980232092,0.423689453125,94.63,99.84
125,1.3463620016208062,0.452199609375,94.7,99.9
126,1.3331642765265244,0.4529234375,94.68,99.88
127,1.3559675121918702,0.43979375,93.81,99.85
128,1.3374513269999089,0.42618828125,93.75,99.84
129,1.344359683379149,0.448630859375,94.75,99.84
130,1.3328596303096185,0.4890171875,94.69,99.89
131,1.3476805557043126,0.45553125,94.83,99.85
132,1.337840981514026,0.4585375,94.65,99.79
133,1.3055027348872943,0.390210546875,94.55,99.88
134,1.3236632279860667,0.3889140625,95.0,99.91
135,1.322277913032434,0.48086953125,93.96,99.79
136,1.3867403337588677,0.49104140625,93.46,99.7
137,1.3337476603495768,0.399180859375,94.43,99.82
138,1.3355947407392355,0.473609375,94.12,99.84
139,1.3388151711378342,0.48666796875,95.18,99.85
140,1.3086545844872792,0.43609921875,95.0,99.85
141,1.3113798803243881,0.397329296875,95.29,99.81
142,1.3374401060434489,0.425205078125,95.46,99.85
143,1.3146223147710165,0.370948828125,94.94,99.84
144,1.3239349371347673,0.423034765625,94.88,99.81
145,1.3090307050790542,0.3660671875,94.98,99.83
146,1.3485655217598647,0.416637109375,94.93,99.79
147,1.3143707680396544,0.405380078125,94.71,99.79
148,1.3221477007254576,0.492889453125,94.26,99.89
149,1.3242865536457453,0.423064453125,94.95,99.9
150,1.3131398045099698,0.41715234375,95.25,99.89
151,1.309343898602021,0.441746875,95.07,99.79
152,1.2905479518266825,0.445868359375,94.74,99.78
153,1.3188220034807157,0.44913125,94.86,99.82
154,1.340122417303232,0.51370234375,95.44,99.81
155,1.3000180709056366,0.3732265625,95.2,99.8
156,1.290862854780295,0.43505625,95.49,99.79
157,1.2838691619726328,0.399803515625,95.64,99.91
158,1.3004872413781974,0.408541796875,95.46,99.88
159,1.2995308730846797,0.405124609375,94.98,99.83
160,1.3059933660886227,0.398534375,95.54,99.84
161,1.3086583143625503,0.423335546875,95.29,99.75
162,1.3135933799621387,0.434543359375,95.31,99.81
163,1.300637295918587,0.429455078125,95.46,99.85
164,1.3089632358306493,0.4598125,95.36,99.79
165,1.2958849098437872,0.40353046875,95.52,99.83
166,1.271288345563106,0.453496875,95.68,99.82
167,1.2814759517327332,0.415452734375,95.46,99.77
168,1.2770292872037643,0.367084765625,95.32,99.82
169,1.2844603330661089,0.416241015625,95.46,99.82
170,1.2821552813053132,0.4339015625,95.74,99.87
171,1.293189698152053,0.438911328125,95.98,99.89
172,1.273379630308885,0.360519140625,95.84,99.82
173,1.2660318810206193,0.452236328125,95.96,99.83
174,1.2866001561666147,0.399094921875,95.43,99.82
175,1.3167398286171448,0.45203203125,95.09,99.78
