epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.320627741,2.228009375,21.63,69.58
1,2.234756994,1.790553125,33.63,87.51
2,2.164456952,1.64609375,40.61,90.43
3,2.095920022,1.568032813,46.86,93.21
4,2.037261628,1.56000625,46.6,92.48
5,1.99225309,1.467279688,50.67,92.44
6,1.967967547,2.0650875,36.87,84.58
7,1.934136941,1.285865625,58.44,94.64
8,1.91831309,1.2395,60.98,95.51
9,1.908523183,1.046559375,64.33,97.4
10,1.883449551,1.222289063,59.84,96.88
11,1.860978575,1.053504688,66.83,97.67
12,1.842309961,1.098114063,70.53,97.35
13,1.839550175,1.095765625,69.54,97.76
14,1.833631963,0.995399219,68.43,97.31
15,1.814419507,0.912004688,71.51,98.12
16,1.81529056,1.426303125,56.26,94.19
17,1.854707314,1.034728125,67.81,97.47
18,1.802020091,0.980478125,72.95,97.63
19,1.857935711,0.9977375,70.5,98.22
20,1.87190745,1.178646094,62.2,95.74
21,1.81578942,1.016,72.37,97.61
22,1.819532953,1.0739875,70.12,97.93
23,1.809431562,0.965049219,73.53,98.11
24,1.820247547,0.855983594,74.5,97.34
25,1.754191105,0.783370313,76.85,98.49
26,1.745956105,0.939821875,76,98.68
27,1.75538604,0.948664063,75.89,98.38
28,1.791386006,0.904960156,73.68,97.72
29,1.790312262,1.007398438,70.1,97.68
30,1.753269258,0.972910156,74.66,97.98
31,1.733292423,0.79984375,78.57,98.73
32,1.754012064,0.823110156,77.14,98.76
33,1.781105347,1.21048125,66.21,96.83
34,1.873524041,0.951940625,74.18,98.19
35,1.759199211,0.865202344,78.17,98.99
36,1.719523361,0.844982031,79.74,98.79
37,1.735398461,0.843483594,78.08,98.62
38,1.73345136,1.025203906,74.67,98.18
39,1.74563706,1.070059375,66.81,96.69
40,1.779127791,0.789721094,79.09,98.78
41,1.699101526,0.727746094,82.3,99.14
42,1.73146326,0.832384375,79.52,98.78
43,1.680508878,0.7673375,80.76,98.64
44,1.693872269,0.72321875,81.73,99.19
45,1.668897271,0.757864844,81.56,99.01
46,1.702520684,0.844533594,81.41,99.02
47,1.674334208,0.716739844,81.78,99.13
