epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.658770833,4.52289375,2.59,11.01
1,4.459620632,3.62350625,15.82,40.67
2,4.301503722,3.316971875,22.58,52.39
3,4.174406013,2.92845,29.32,60.97
4,4.115207777,2.8829625,28.89,60.09
5,4.072047391,2.78518125,31.29,62.98
6,4.001341194,2.699078125,33.41,64.67
7,3.925462447,2.634675,34.53,67.32
8,3.892109176,2.423103125,38.53,71.62
9,3.870813057,2.450415625,40.43,72.43
10,3.794767445,2.259098438,42.87,74.57
11,3.74227304,2.11635625,45.95,76.63
12,3.705788249,2.165810938,45.44,77.59
13,3.667148553,2.08585625,48.95,79.3
14,3.622800969,2.11251875,49.64,79.76
15,3.581137797,1.925904688,52.91,81.8
16,3.536351778,1.74776875,54.42,84.09
17,3.501105634,1.787573438,55.46,83.14
18,3.453210243,1.65699375,57.75,85.87
19,3.412707032,1.705325,58.01,84.69
20,3.413569699,1.628279688,59.58,86.01
21,3.35580834,1.693307813,59.15,86.35
22,3.371149424,1.56535625,60.92,87.36
23,3.338729917,1.442153125,63.22,88.53
24,3.251579088,1.594345313,61.93,88.11
25,3.304239686,1.564290625,62.84,87.77
26,3.264104326,1.451132813,63.83,88.32
27,3.221991078,1.506179688,63.5,88.88
28,3.216082029,1.524734375,63.69,89.1
29,3.205074497,1.466110938,63.95,89.56
30,3.185400479,1.386145313,66.77,89.92
31,3.151539855,1.336429688,66.35,90.62
32,3.13946251,1.266439063,66.69,90.68
33,3.117396566,1.395285938,66,90.14
34,3.16531493,1.315585938,67.94,91.08
35,3.076754172,1.4101625,67.34,90.5
36,3.063360836,1.346295313,67.54,90.8
37,3.090817257,1.250815625,69.36,91.76
38,3.025188417,1.33236875,69.21,91.03
39,3.002852781,1.447892188,68.47,90.86
40,3.04284734,1.21830625,69.98,91.65
41,3.064130798,1.249779688,69.68,92.04
42,3.004258128,1.220878125,71.11,92.24
43,3.014405053,1.30810625,70.35,92.1
44,2.97449453,1.237948438,71.89,93.01
45,2.935799574,1.267929688,71.31,92.52
46,2.934215863,1.113635938,72.27,92.67
47,2.95755562,1.1795375,71.54,92.42
48,2.905022215,1.175175,71.95,92.58
49,2.939779487,1.324470313,70.78,91.78
50,2.872885788,1.23521875,73.09,92.82
51,2.911519265,1.147404688,73.06,93.17
52,2.893826314,1.237807813,73.26,92.53
53,2.875005818,1.231328125,72.35,93.02
54,2.86877635,1.143022656,73.66,93.78
55,2.862919628,1.228748438,73.14,93.22
56,2.852209664,1.194907813,73.3,93.44
57,2.897610239,1.074704688,74.24,93.8
58,2.812208255,1.177323438,74.07,93.39
59,2.842963424,1.039153125,74.99,94.34
60,2.841719516,1.13899375,74.37,93.39
61,2.845868887,1.039865625,74.82,94.08
62,2.827503966,1.205275,74.13,93.78
63,2.781287289,1.205828125,73,93.07
64,2.779060986,1.149042188,73.95,93.84
65,2.782879563,1.156101563,74.91,94.1
66,2.779302338,1.037040625,75.5,94.23
67,2.797085577,1.16545,75.49,94.06
68,2.738402357,1.184865625,74.5,93.39
