epoch,train_loss,eval_loss,eval_top1,eval_top5

0,4.608578981497349,4.57638125,1.65,8.06

1,4.49566149467077,4.0225375,8.79,31.01

2,4.334324617874928,3.548321875,17.61,47.01

3,4.191718652309516,3.26665,22.92,53.28

4,4.07217723895342,3.08288125,26.31,58.05

5,3.9978576727402517,2.8044,30.66,65.36

6,3.897088157213651,2.627009375,36.45,69.06

7,3.7990730236738157,2.53565,38.15,69.46

8,3.7470784419622176,2.30249375,42.91,75.37

9,3.718001077725337,2.26139375,44.26,76.27

10,3.6643732700592433,2.166253125,47.75,78.34

11,3.5972132474948197,2.1242015625,47.56,78.16

12,3.5621776739756266,2.095628125,49.96,81.43

13,3.5077268154193195,2.0944359375,49.59,81.34

14,3.4687801024852654,1.941815625,53.26,83.1

15,3.442563987389589,1.8074609375,55.0,85.11

16,3.4205783917353703,1.8702375,53.96,83.72

17,3.416744822722215,1.744046875,58.2,86.53

18,3.347235864859361,1.709571875,58.82,86.94

19,3.277063740216769,1.5541859375,60.27,87.83

20,3.337906091641157,1.5720546875,61.65,88.43

21,3.2790750943697415,1.7090296875,60.86,88.1

22,3.238769665742532,1.6812609375,60.94,87.69

23,3.2285611702845647,1.4716265625,62.64,89.57

24,3.157820924734458,1.4792125,64.34,90.06

25,3.196748224588541,1.577965625,62.85,88.89

26,3.15048289788075,1.426725,65.13,90.49

27,3.1885923883853815,1.4377515625,65.22,90.33

28,3.1727818880325707,1.4199828125,65.52,90.37

29,3.1556250205406777,1.4376046875,66.25,91.14

30,3.0985124331254226,1.42676875,67.26,90.79

31,3.08732393460396,1.427684375,66.77,90.82

32,3.0535655342615566,1.41044375,67.98,91.62

33,3.0559178196466887,1.3742046875,67.45,91.64

34,3.0757519272657543,1.34000625,69.38,92.24

35,3.0188679915208083,1.34173125,67.9,91.65

36,3.0328062946979815,1.30355,69.53,92.62

37,3.0042259249931726,1.27055625,70.18,92.47

38,3.0246693268800393,1.2504234375,70.44,92.48

39,2.985494027687953,1.3224359375,69.69,92.38

40,2.9633478094369936,1.3747703125,69.68,92.42

41,2.9948678129758592,1.2853859375,70.26,92.45

42,2.9145902077356975,1.2914109375,71.62,92.87

43,2.9333994850134237,1.2005921875,71.85,93.1

44,2.9305996595284878,1.2893125,71.91,93.02

45,2.9101203897060492,1.236609375,72.62,93.63

46,2.898342849352421,1.1861125,72.88,93.7

47,2.872102924187978,1.2978109375,73.12,93.41

48,2.8783436157764535,1.212234375,73.1,93.6

49,2.851779740590316,1.26886875,72.63,93.61

50,2.867915587241833,1.1902859375,73.45,93.57

51,2.875852516369942,1.18733125,74.26,94.17

52,2.8112643000407096,1.172203125,73.56,93.67

