epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.610077884869698,4.5838625,1.79,7.5
1,4.493113830762032,4.036709375,8.5,30.01
2,4.348427883783976,3.635621875,16.88,44.19
3,4.201928675480378,3.32830625,23.23,53.43
4,4.094096212509351,3.064375,26.93,59.45
5,4.026631947052785,2.921078125,29.46,61.17
6,3.934517287596678,2.829584375,31.93,63.89
7,3.862838726777297,2.591878125,37.35,70.27
8,3.8236503246502997,2.465915625,39.79,72.15
9,3.741607348124186,2.405534375,41.28,73.99
10,3.7169116478699906,2.161128125,46.76,78.82
11,3.663622192847423,2.358271875,41.92,72.91
12,3.625040671764276,2.19435625,45.97,77.63
13,3.5580451409022014,2.031259375,49.9,81.65
14,3.5093937079111734,1.999103125,51.09,81.55
15,3.5172146870539738,1.87005,53.36,83.76
16,3.4623698356824044,1.886409375,53.47,84.01
17,3.419386092821757,1.7750109375,55.27,84.77
18,3.404906760729276,1.74106875,56.94,86.03
19,3.3599234629900026,1.789059375,57.29,86.43
20,3.3619207632847323,1.8015546875,57.34,85.73
21,3.3308364996543296,1.707375,58.5,87.39
22,3.2635364624170156,1.60576875,61.59,88.28
23,3.2666720946629844,1.6661234375,61.25,88.39
24,3.268967056274414,1.573440625,62.55,89.32
25,3.212559678004338,1.5094734375,64.02,89.92
26,3.1887580486444325,1.4980140625,63.22,89.51
27,3.159337406586378,1.4202359375,65.44,90.63
28,3.163073735970717,1.5321265625,64.48,89.94
29,3.119031517016582,1.482834375,65.41,90.58
30,3.1189673237311535,1.36388125,65.88,90.69
31,3.135102479885786,1.374203125,66.85,90.85
32,3.067792371297494,1.3259328125,68.17,91.73
33,3.0809637586275738,1.3422375,67.99,91.82
34,3.049006995176658,1.3518734375,68.27,91.5
35,3.036185014553559,1.30255625,67.99,91.79
36,2.993276353982779,1.3299828125,68.0,91.59
37,3.0404917081197103,1.3868828125,68.5,91.62
38,3.0071115744419585,1.30875,70.09,92.17
39,2.986750370416886,1.2348203125,70.45,92.72
40,3.0002266410069587,1.276796875,70.91,92.6
41,2.9568790261562055,1.2996546875,71.16,93.11
42,2.9619041124979657,1.3299046875,70.42,92.29
43,2.9445511701779488,1.1897140625,71.13,92.85
44,2.965220709030445,1.300534375,69.5,92.73
45,2.91444552342097,1.2638765625,71.84,93.13
46,2.948676215379666,1.2811671875,71.76,93.18
47,2.8799323690243255,1.2282640625,72.72,93.37
48,2.8515817180657996,1.1995203125,72.7,93.26
49,2.892840790748596,1.204809375,72.87,93.49
50,2.819009613990784,1.196109375,73.27,93.41
51,2.8542484323183697,1.2007921875,73.96,93.78
52,2.8422465544480544,1.249578125,73.57,93.58
53,2.8422407923600614,1.2107015625,73.29,93.54
54,2.822175736610706,1.110640625,74.08,94.33
55,2.7857876906028163,1.106534375,74.96,94.21
56,2.8203865442520533,1.0270265625,75.51,94.84
