epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.63563024,4.57561875,2.3,8.87
1,4.546015403,4.03605625,8.77,27.76
2,4.436650149,3.87690625,10.89,34.38
3,4.390501658,3.797415625,12.62,36.92
4,4.313351025,3.503990625,16.6,44.4
5,4.246004836,3.36711875,19.61,48.55
6,4.191094819,3.332821875,20.62,50.67
7,4.159341826,3.156415625,24.39,55.15
8,4.128059115,3.1344375,23.48,54.62
9,4.034568722,2.93768125,27.42,60.58
10,3.993665342,2.833109375,30.37,62.76
11,3.962197184,2.840990625,29.16,60.63
12,3.927791501,2.631134375,33.85,67.08
13,3.884933903,2.704646875,33.73,67.25
14,3.859436466,2.614478125,37.28,70.25
15,3.847702873,2.667046875,35.13,69.53
16,3.789046761,2.582165625,36.08,69.4
17,3.791132712,2.2534125,43.86,76.97
18,3.721561964,2.23390625,42.4,76.37
19,3.686300269,2.147371875,45.97,78.56
20,3.645381136,2.121264063,46.42,79.07
21,3.627842816,2.10441875,47.21,80.51
22,3.616145582,1.970242188,50,82.06
23,3.560639083,2.00125,50.36,82.3
24,3.542717429,2.026221875,50.43,82.74
25,3.526027504,2.020334375,50.53,82.79
26,3.516978011,1.878076563,53.49,84.07
27,3.495270382,1.956417188,52.6,83.66
28,3.480063136,1.958135938,54.48,84.79
29,3.504645941,1.9583625,53.46,83.56
30,3.458693077,1.7626875,55.71,85.23
31,3.44279106,1.76379375,57,85.84
32,3.465192483,1.728510938,56.99,85.82
33,3.369893763,1.817825,56.04,85.8
34,3.431595415,1.810384375,56.83,86.51
35,3.38430999,1.672207813,58.06,87.29
36,3.377669916,1.767434375,57.98,85.86
37,3.338376204,1.799584375,58.07,87.2
38,3.381460274,1.757739063,58.24,86.67
39,3.309189189,1.62431875,61.43,88.35
40,3.280525253,1.528140625,61.82,88.33
41,3.277329101,1.583898438,61.94,88.77
42,3.336839732,1.69669375,60.52,88.34
43,3.308133186,1.588598438,62.6,89.15
44,3.207533562,1.558576563,62.25,89.23
45,3.229306824,1.499701563,61.79,88.36
46,3.248062386,1.719695313,61.06,88.04
47,3.253475568,1.521707813,64.4,90.02
48,3.250960297,1.616439063,62.85,88.93
49,3.255028501,1.604828125,64.25,89.73
50,3.26807505,1.5547375,64.74,90.15
51,3.217579573,1.570540625,63.72,89.49
52,3.247251409,1.465751563,65.4,90.6
53,3.181428252,1.433815625,65.22,90.41
54,3.155366396,1.46321875,65.89,90.73
55,3.130073678,1.568170313,64.71,90.28
56,3.138955653,1.471335938,65.98,90.92
57,3.141395819,1.332525,67.06,91.54
58,3.092885823,1.374553125,66.66,91.15
59,3.083894611,1.409326563,67.59,91.5
60,3.079062402,1.409684375,67.4,90.98
61,3.084446806,1.377567188,67.47,91.82
62,3.075829892,1.43795625,67.49,91.44
63,3.066173412,1.372020313,68.3,91.63
64,3.109971823,1.365523438,68.74,91.71
65,3.06825394,1.313207813,68.93,92.06
66,3.060226285,1.28845625,69.26,92.13
67,3.092073333,1.326592188,69.07,91.92
68,2.992237196,1.404876563,68.85,92.17
69,3.073555679,1.41818125,68.69,91.76
70,3.022360114,1.292495313,68.64,92.22
71,3.026757561,1.399001563,69.66,92.13
