epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.639633313,4.5818375,2.3,7.77
1,4.552572752,4.073775,8.01,26.58
2,4.441566779,3.9025375,10.76,32.28
3,4.383651762,3.7607625,13.44,37.87
4,4.310375212,3.565528125,15.46,42.08
5,4.242060842,3.333665625,20.26,50.15
6,4.173451342,3.18659375,22.51,52.41
7,4.114559228,3.0214875,26.26,59.39
8,4.056119543,2.99736875,26.76,59.64
9,4.010243799,2.847103125,28.59,62.48
10,3.956425818,2.721103125,30.61,63.58
11,3.882626127,2.744828125,33.18,65.87
12,3.844475244,2.50543125,37.88,71.13
13,3.821922855,2.276921875,42.34,75
14,3.77824115,2.36175625,42.39,75.09
15,3.717780411,2.2952125,43.39,76.18
16,3.675895945,2.189857813,45.28,78.18
17,3.648258548,2.154795313,46.03,77.9
18,3.639884281,2.03535,48.8,80.98
19,3.605559754,2.113539063,47.44,79.32
20,3.553408294,2.074126563,49.02,81.33
21,3.54493338,2.104507813,50.39,81.12
22,3.523873003,1.991164063,54.01,83.5
23,3.537861841,1.881904688,53.31,83.63
24,3.516064539,1.83078125,54.23,84.46
25,3.497172593,1.95515625,54.53,84.86
26,3.448335751,1.852201563,55.1,84.53
27,3.387289833,1.730801563,56.62,85.59
28,3.375128664,1.865198438,55.92,85.63
29,3.372318826,1.7288875,58.22,87.12
30,3.370717739,1.852517188,58.2,86.16
31,3.350519614,1.72919375,59.7,87.78
32,3.314575315,1.632521875,60.56,88.38
33,3.265408159,1.602335938,62.23,88.99
34,3.249360217,1.697945313,60.54,88.04
35,3.269276242,1.562864063,62.86,89.16
36,3.25575712,1.545421875,62.73,89.66
37,3.203747414,1.523926563,62.84,89.03
38,3.184295983,1.508565625,64.48,89.8
39,3.182887038,1.565176563,63.01,89.05
40,3.198835048,1.47973125,65.59,90.82
41,3.176369954,1.52539375,63.96,89.79
42,3.128859996,1.49504375,65,90.31
43,3.140801695,1.428084375,65.95,90.37
44,3.132430632,1.51783125,65.56,90.71
45,3.161072449,1.4423,66.3,90.18
46,3.1565634,1.4668,66.62,90.8
47,3.151793628,1.495567188,68.11,91.53
48,3.100544335,1.443320313,66.82,91.22
49,3.038574055,1.349346875,68.45,91.96
50,3.123089125,1.322825,68.73,92.33
51,3.103356328,1.36145625,67.94,91.47
52,3.069603797,1.210248438,70.2,92.53
53,3.045139909,1.329885938,69.55,92.39
54,3.070765843,1.413714063,68.99,91.89
55,2.964808797,1.294817188,70.52,92.96
56,3.005397817,1.231429688,70.44,93.12
57,3.034877331,1.324829688,70.44,92.96
58,2.999321087,1.312909375,69.36,92.57
59,3.022474261,1.357023438,70.25,92.3
60,3.037785191,1.249357813,71.45,93.02
61,3.011894016,1.2151375,70.95,92.99
62,3.027083498,1.291095313,72.46,93.52
63,2.9805951,1.23758125,71.23,93.27
64,2.962990268,1.399717188,69.41,91.97
65,2.911554216,1.211048438,72.38,93.47
66,2.982839323,1.292095313,72.59,93.55
67,2.910525623,1.282125,72.05,93.43
68,2.926789549,1.148485938,73.37,94.14
69,2.933279215,1.098396875,74.15,94.12
70,2.896607641,1.149365625,73.38,93.51
71,2.902737131,1.1948625,73.33,93.68
72,2.860491618,1.220526563,73.19,93.54
73,2.875597163,1.133315625,73.61,94.09
74,2.905926768,1.185551563,73.67,93.56
75,2.892775627,1.21250625,74.16,94.01
76,2.881089627,1.167175,74.42,93.96
77,2.862061083,1.269828125,73.43,93.78
78,2.858251869,1.151825,74.67,93.85
79,2.845280607,1.154317188,74.73,94.07
80,2.846543884,1.1533375,75.16,94.27
81,2.802515889,1.113060938,74.98,93.84
82,2.87012044,1.141673438,75.25,94.09
83,2.786515559,1.112249219,75.05,94.08
84,2.830721437,1.198267188,75.31,94.74
85,2.770433033,1.209107813,74.96,94.19
