epoch,train_loss,eval_loss,eval_top1,eval_top5
0.0,4.611660099,4.59934375,1.24,6.0
1.0,4.54059739,4.23220625,7.12,23.11
2.0,4.442658163,3.941515625,11.05,33.49
3.0,4.372533246,3.717928125,14.73,40.24
4.0,4.308938524,3.433765625,19.93,50.0
5.0,4.218916482,3.25024375,24.38,56.21
6.0,4.169018798,3.01443125,29.11,61.09
7.0,4.105724082,2.872325,31.79,63.99
8.0,4.052189804,2.804146875,32.45,65.53
9.0,3.997531886,2.654596875,36.59,68.99
10.0,3.970986275,2.510934375,39.09,72.23
11.0,3.913897646,2.382121875,41.58,74.15
12.0,3.926188768,2.399621875,41.14,73.84
13.0,3.881404754,2.27055625,44.56,77.56
14.0,3.829785924,2.187814063,45.77,78.06
15.0,3.811562767,2.1368375,47.63,79.07
16.0,3.787545628,2.043853125,48.31,78.7
17.0,3.746570201,2.042217188,49.54,80.53
18.0,3.740170112,2.03425,51.09,81.81
19.0,3.708255485,1.981960938,51.07,81.36
20.0,3.697136743,1.820473438,54.7,83.82
21.0,3.713381001,1.843146875,54.55,83.78
22.0,3.576209764,1.734270313,55.82,85.44
23.0,3.619606664,1.685728125,57.39,86.15
24.0,3.62212092,1.736301563,57.17,86.19
25.0,3.605553474,1.60200625,59.3,87.13
26.0,3.609041454,1.713920313,59.03,86.65
27.0,3.552668642,1.672917188,59.22,87.05
28.0,3.536017437,1.622875,60.6,87.54
29.0,3.54173475,1.642679688,59.48,86.88
30.0,3.5182384,1.5575375,61.07,87.85
31.0,3.499557861,1.687895313,62.41,88.06
32.0,3.453240403,1.586740625,62.03,88.86
33.0,3.498722314,1.640604688,61.59,88.1
34.0,3.474467154,1.542970313,64.19,89.16
35.0,3.453729436,1.488864063,64.23,89.69
36.0,3.415112317,1.60485,64.25,89.46
37.0,3.394835605,1.457260938,65.77,90.54
38.0,3.36427547,1.48536875,65.36,90.24
39.0,3.340056523,1.35745,66.77,90.8
40.0,3.334348351,1.404889063,66.48,90.91
41.0,3.385410248,1.435214063,67.29,91.05
42.0,3.329543229,1.390459375,67.24,91.1
43.0,3.324429805,1.40723125,68.53,91.38
44.0,3.327626326,1.39795,68.02,91.2
45.0,3.344907642,1.460604688,66.8,90.6
46.0,3.319634999,1.464632813,68.57,92.04
47.0,3.24932195,1.376895313,68.27,91.6
48.0,3.270902394,1.372073438,68.3,91.57
49.0,3.306535375,1.511273438,68.82,91.7
50.0,3.297100864,1.325373438,69.62,91.94
51.0,3.310234724,1.305232813,69.82,92.07
52.0,3.300432726,1.346748438,70.04,92.47
53.0,3.356995755,1.364479688,69.67,92.39
54.0,3.271418706,1.33309375,70.31,92.54
55.0,3.265579098,1.266601563,70.33,92.79
56.0,3.278232363,1.328829688,70.72,92.7
57.0,3.225599557,1.317767188,71.23,92.48
58.0,3.197134566,1.387745313,70.21,92.34
59.0,3.21164958,1.317770313,71.58,93.07
60.0,3.22526062,1.199807813,71.87,92.97
61.0,3.212231048,1.248610938,72.96,93.31
62.0,3.264581635,1.338292188,72.47,93.33
63.0,3.203692329,1.347501563,71.81,92.97
64.0,3.121950871,1.2128,72.37,93.5
65.0,3.204219728,1.25733125,72.11,93.12
66.0,3.192081036,1.143480469,73.2,93.78
67.0,3.244701547,1.253242188,73.23,93.26
68.0,3.198066182,1.170010938,73.14,93.44
69.0,3.165802502,1.183867188,73.54,93.77
70.0,3.22988725,1.326901563,73.49,93.66
71.0,3.091046039,1.129955469,73.52,94.04
72.0,3.206139476,1.3035625,72.59,93.5
73.0,3.130025375,1.213257813,73.83,93.9
74.0,3.145492743,1.184670313,74.13,93.82
75.0,3.172168793,1.160632813,74.46,94.09
76.0,3.151163972,1.207117188,73.66,93.6
77.0,3.087403615,1.200415625,74.74,94.4
78.0,3.068839389,1.166023438,74.32,94.45
79.0,3.100153983,1.127628125,74.33,94.18
80.0,3.10649236,1.361357813,74.23,93.89
81.0,3.075302433,1.15046875,74.84,94.19
82.0,3.15616767,1.192989063,75.29,94.34
83.0,3.096983484,1.179835938,75.05,94.26
84.0,3.094856078,1.1794125,74.87,94.38
85.0,3.118608659,1.233546875,74.39,94.05
86.0,3.093106738,1.093721875,76.4,94.82
87.0,3.073925076,1.154745313,76.01,94.66
88.0,3.075501743,1.1253875,75.62,94.59
89.0,3.025888915,1.07169375,76.15,94.71
90.0,3.038743489,1.042275,76.06,94.77
91.0,3.037750992,1.121790625,76.22,94.47
92.0,3.108166281,1.2002125,75.7,94.58
93.0,3.095005812,1.202464063,76.29,94.78
94.0,3.092725853,1.1257875,76.26,94.64
95.0,3.022172477,1.084289063,76.59,94.79
96.0,3.016493533,1.146789063,75.78,94.78
97.0,3.058364224,1.09133125,76.95,94.95
98.0,3.093774368,1.110082031,77.09,94.95
99.0,3.051246611,1.1218875,76.2,94.75
100.0,2.970093732,1.059064844,76.86,94.84
101.0,3.025251046,1.177273438,76.15,94.52
102.0,3.001020837,1.087592969,76.42,94.97
103.0,2.980565917,1.062239844,76.59,94.56
104.0,2.981418637,1.198611719,77.01,95.19
105.0,3.009055292,1.14650625,76.99,94.9
106.0,3.035464079,1.078995313,77.7,95.32
107.0,3.022368931,1.076797656,77.02,94.97
108.0,3.011711043,1.142923438,76.43,94.53
109.0,2.926000728,1.110774219,77.2,94.99
110.0,3.018639957,1.118304688,77.98,95.1
111.0,2.955312769,1.0476,77.98,95.02
112.0,2.987963224,1.157795313,77.97,95.27
113.0,2.981589099,1.063848438,77.78,95.09
114.0,2.969499984,1.08224375,77.65,95.25
115.0,3.028243721,1.114346875,77.64,95.16
116.0,2.926540506,0.982329688,78.15,95.22
117.0,2.923164777,1.127826563,77.79,95.15
118.0,2.956504404,1.0759,77.92,95.46
119.0,2.99421658,1.0817625,77.79,95.21
120.0,2.93229125,0.955103125,78.46,95.44
121.0,2.949821322,1.098915625,78.14,95.23
122.0,2.955356971,1.009971875,78.66,95.69
123.0,2.882916597,1.080801563,77.85,95.12
124.0,2.913345059,1.014689844,78.09,95.35
125.0,2.952098156,1.138454688,78.33,95.35
126.0,2.926075168,1.038223438,78.92,95.6
127.0,2.915143151,1.058170313,78.6,95.15
128.0,2.901337443,1.039629688,78.79,95.4
129.0,2.852874291,1.015085156,78.86,95.7
130.0,2.858256089,1.081739063,78.48,95.49
131.0,2.915228967,0.99614375,78.97,95.59
132.0,2.878887635,1.032951563,78.89,95.44
133.0,2.823453753,0.941517969,79.26,95.92
134.0,2.906050014,1.044163281,79.28,95.68
135.0,2.947685684,1.050336719,79.41,95.85
136.0,2.944204702,1.008396875,78.74,95.52
137.0,2.910948914,1.036884375,79.27,95.75
138.0,2.930561138,1.0376,79.16,95.6
139.0,2.839495527,1.091490625,79.25,95.6
140.0,2.913360442,1.006286719,79.26,95.81
141.0,2.838787653,0.977126563,79.77,95.89
