"Step","celu+avg+3*3*3+tri - Top-1 accuracy","celu+avg+3*3*3+tri - Top-1 accuracy__MIN","celu+avg+3*3*3+tri - Top-1 accuracy__MAX","celu+avg+3*3*3+tri+SE - Top-1 accuracy","celu+avg+3*3*3+tri+SE - Top-1 accuracy__MIN","celu+avg+3*3*3+tri+SE - Top-1 accuracy__MAX","celu+avg+3*3*3 - Top-1 accuracy","celu+avg+3*3*3 - Top-1 accuracy__MIN","celu+avg+3*3*3 - Top-1 accuracy__MAX"
"0","21.7611328125","21.7611328125","21.7611328125","22.51","22.51","22.51","4.29","4.29","4.29"
"1","26.7710546875","26.7710546875","26.7710546875","30.79","30.79","30.79","8.75","8.75","8.75"
"2","32.84109375","32.84109375","32.84109375","36.18","36.18","36.18","11.89","11.89","11.89"
"3","36.741171875","36.741171875","36.741171875","39.46","39.46","39.46","16.92","16.92","16.92"
"4","32.6317578125","32.6317578125","32.6317578125","42.47","42.47","42.47","19.85","19.85","19.85"
"5","41.5713671875","41.5713671875","41.5713671875","45.62","45.62","45.62","24.16","24.16","24.16"
"6","40.33125","40.33125","40.33125","46.46","46.46","46.46","27.15","27.15","27.15"
"7","43.031015625","43.031015625","43.031015625","46.78","46.78","46.78","31.59","31.59","31.59"
"8","41.4115625","41.4115625","41.4115625","49","49","49","32.09","32.09","32.09"
"9","47.87109375","47.87109375","47.87109375","49.27","49.27","49.27","37.12","37.12","37.12"
"10","49.8319140625","49.8319140625","49.8319140625","51.51","51.51","51.51","39.22","39.22","39.22"
"11","46.331640625","46.331640625","46.331640625","52.27","52.27","52.27","39.49","39.49","39.49"
"12","48.89125","48.89125","48.89125","52.71","52.71","52.71","42.87","42.87","42.87"
"13","51.5618359375","51.5618359375","51.5618359375","52.25","52.25","52.25","43.77","43.77","43.77"
"14","51.5016796875","51.5016796875","51.5016796875","52.54","52.54","52.54","44.74","44.74","44.74"
"15","49.2213671875","49.2213671875","49.2213671875","52.55","52.55","52.55","43.81","43.81","43.81"
"16","52.4319921875","52.4319921875","52.4319921875","53.35","53.35","53.35","46.91","46.91","46.91"
"17","53.821484375","53.821484375","53.821484375","54.4","54.4","54.4","47.52","47.52","47.52"
"18","53.0014453125","53.0014453125","53.0014453125","54.07","54.07","54.07","46.72","46.72","46.72"
"19","52.5621484375","52.5621484375","52.5621484375","54.33","54.33","54.33","48.23","48.23","48.23"
"20","51.8214453125","51.8214453125","51.8214453125","54.11","54.11","54.11","49.97","49.97","49.97"
"21","54.0622265625","54.0622265625","54.0622265625","54.99","54.99","54.99","49.32","49.32","49.32"
"22","53.5320703125","53.5320703125","53.5320703125","54.83","54.83","54.83","49.39","49.39","49.39"
"23","51.442890625","51.442890625","51.442890625","55.97","55.97","55.97","51.75","51.75","51.75"
"24","53.45265625","53.45265625","53.45265625","55.06","55.06","55.06","51.79","51.79","51.79"
"25","53.6722265625","53.6722265625","53.6722265625","55.68","55.68","55.68","50.84","50.84","50.84"
"26","54.3215625","54.3215625","54.3215625","54.38","54.38","54.38","49.81","49.81","49.81"
"27","54.8814453125","54.8814453125","54.8814453125","55.04","55.04","55.04","51.47","51.47","51.47"
"28","53.9423046875","53.9423046875","53.9423046875","54.65","54.65","54.65","51.66","51.66","51.66"
"29","54.8313671875","54.8313671875","54.8313671875","55.67","55.67","55.67","51.56","51.56","51.56"
"30","58.8023828125","58.8023828125","58.8023828125","60.1","60.1","60.1","59.21","59.21","59.21"
"31","59.232265625","59.232265625","59.232265625","60.32","60.32","60.32","59.49","59.49","59.49"
"32","59.4622265625","59.4622265625","59.4622265625","60.57","60.57","60.57","59.78","59.78","59.78"
"33","59.4323046875","59.4323046875","59.4323046875","60.71","60.71","60.71","59.59","59.59","59.59"
"34","59.632890625","59.632890625","59.632890625","60.5","60.5","60.5","59.69","59.69","59.69"
"35","59.6823828125","59.6823828125","59.6823828125","60.66","60.66","60.66","59.36","59.36","59.36"
"36","59.6429296875","59.6429296875","59.6429296875","60.63","60.63","60.63","59.41","59.41","59.41"
"37","59.6522265625","59.6522265625","59.6522265625","60.58","60.58","60.58","59.51","59.51","59.51"
"38","59.4735546875","59.4735546875","59.4735546875","60.64","60.64","60.64","59.6","59.6","59.6"
"39","59.832109375","59.832109375","59.832109375","60.71","60.71","60.71","59.69","59.69","59.69"
"40","59.863515625","59.863515625","59.863515625","60.71","60.71","60.71","59.47","59.47","59.47"
"41","59.9122265625","59.9122265625","59.9122265625","60.6","60.6","60.6","59.36","59.36","59.36"
"42","59.5726953125","59.5726953125","59.5726953125","60.7","60.7","60.7","59.21","59.21","59.21"
"43","59.7821484375","59.7821484375","59.7821484375","60.9","60.9","60.9","59.36","59.36","59.36"
"44","59.592265625","59.592265625","59.592265625","60.73","60.73","60.73","59.47","59.47","59.47"
"45","59.8227734375","59.8227734375","59.8227734375","60.68","60.68","60.68","59.26","59.26","59.26"
"46","59.892265625","59.892265625","59.892265625","60.64","60.64","60.64","59.03","59.03","59.03"
"47","59.9116015625","59.9116015625","59.9116015625","60.8","60.8","60.8","59.02","59.02","59.02"
"48","59.902109375","59.902109375","59.902109375","60.54","60.54","60.54","59.02","59.02","59.02"
"49","60.0021875","60.0021875","60.0021875","60.86","60.86","60.86","59.14","59.14","59.14"
